Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 1024, 1, 1, 64, 0.184297, 0.148008, N/A, 0.00132616, 0.00250582, 0.041722, 0.00287305, 2, 2, 1, 2, 1, 1, 66.6069, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 8, 0.176503, 0.146021, N/A, 0.000445906, 0.000496639, 0.0205139, 0.00146223, 1, 2, 1, 8, 1, 1, 65.4361, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 64, 0.184297, 0.148008, N/A, 0.00132616, 0.00250582, 0.041722, 0.00287305, 2, 2, 1, 2, 1, 1, 66.6069, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 8, 0.176503, 0.146021, N/A, 0.000445906, 0.000496639, 0.0205139, 0.00146223, 1, 2, 1, 8, 1, 1, 65.4361, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 8, 0.933437, 1.04379, N/A, 0.0312473, 0.0209154, 2.61114, 1.18901, 2, 4, 16, 16, 1, 8, 78.735, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.212241, 0.16613, N/A, 0.000659356, 0.000737286, 0.0265859, 0.0130856, 2, 2, 1, 8, 1, 1, 55.892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
